"ID","ScientificName","REGION","month","Effort_mean","Effort_sd","overlap_mean","overlap_sd"
"S1","A","ATL_N",1,0.0166050639114615,0.0240687106792374,79.2452830188679,NA
"S1","A","ATL_N",10,0.023444112340769,0.0268269813860183,85.7142857142857,NA
"S1","A","ATL_N",11,0.0349030954973657,0.0430271012295725,93.3333333333333,NA
"S1","A","ATL_N",12,0.0296774421536131,0.0302781989419272,100,NA
"S1","A","ATL_N",2,0.017694193113245,0.0353442839129906,70.1754385964912,NA
"S1","A","ATL_N",3,0.0179061651036501,0.0264507545461904,77.5510204081633,NA
"S1","A","ATL_N",4,0.0128971617644666,0.0184692262998561,78.7234042553192,NA
"S1","A","ATL_N",5,0.00756978943000554,0.0151288680445211,56,NA
"S1","A","ATL_N",6,0.00371079474597502,0.0112663839805094,30.7692307692308,NA
"S1","A","ATL_N",7,0.00428109864516684,0.00909314981681786,56.140350877193,NA
"S1","A","ATL_N",8,0.0257195806444186,0.0675772381664173,98.1132075471698,NA
"S1","A","ATL_N",9,0.0281050774879053,0.0993986425062383,86.9565217391305,NA
"S2","B","OTHER",1,0.0221680718144518,0.0456056351985955,38.4615384615385,NA
"S2","B","OTHER",10,0.00548517383219648,0.0127361405431711,23.4042553191489,NA
"S2","B","OTHER",11,0.0148347495782908,0.0456476901704304,36,NA
"S2","B","OTHER",12,0.0065682496261088,0.0114984911183797,51.9230769230769,NA
"S2","B","OTHER",2,0.00691909220276388,0.0122758044816278,51.2820512820513,NA
"S2","B","OTHER",3,0.00276691410927905,0.00446258052065151,49.1525423728814,NA
"S2","B","OTHER",4,0.00365109071141323,0.0106064456228598,22.2222222222222,NA
"S2","B","OTHER",5,0.00424684711888843,0.00928080465661971,30,NA
"S2","B","OTHER",6,0.00440262933228622,0.0167707661822394,20,NA
"S2","B","OTHER",7,0.00364552904645206,0.0115502936721339,17.0212765957447,NA
"S2","B","OTHER",8,0,0,0,NA
"S2","B","OTHER",9,0.00545715269556269,0.0164325165526681,21.9512195121951,NA
"S3","A","ATL_N",1,0.00430454053607985,0.0103746010500993,44.4444444444444,NA
"S3","A","ATL_N",10,6.49662680938698e-05,0.000410882756515508,2.5,NA
"S3","A","ATL_N",11,4.50860159399118e-05,0.000225826584213198,4.08163265306122,NA
"S3","A","ATL_N",12,0.0039534545105954,0.0144648393667602,27.2727272727273,NA
"S3","A","ATL_N",2,0.00592334773406606,0.0182363288430606,17.0731707317073,NA
"S3","A","ATL_N",3,0.0131890175455155,0.0427947107883192,18.1818181818182,NA
"S3","A","ATL_N",4,0.00744300983186557,0.0324343830268476,16,NA
"S3","A","ATL_N",5,0.00573666800199428,0.0153973103910891,27.4509803921569,NA
"S3","A","ATL_N",6,0.00398349382968573,0.00824395725060962,43.4782608695652,NA
"S3","A","ATL_N",7,0.0028259720266652,0.0134043699512153,18.1818181818182,NA
"S3","A","ATL_N",8,0.00166225173933299,0.00690463391440582,12.1951219512195,NA
"S3","A","ATL_N",9,0.000133724681437883,0.000964302391438751,1.92307692307692,NA
"S4","B","OTHER",1,0.00538780572104164,0.0111038556238036,34.8837209302326,NA
"S4","B","OTHER",10,0.00846283690162753,0.0250343018278901,44,NA
"S4","B","OTHER",11,0.0130811451182905,0.0267976742036693,53.6585365853659,NA
"S4","B","OTHER",12,0.012892604880526,0.0268925901855752,46.6666666666667,NA
"S4","B","OTHER",2,0.00176859988398002,0.00527544921163404,17.948717948718,NA
"S4","B","OTHER",3,0.00840249830854009,0.016869619235429,45.945945945946,NA
"S4","B","OTHER",4,0.00741810954659931,0.0160934485039852,60.4166666666667,NA
"S4","B","OTHER",5,0.00601915365969687,0.011214364890749,46.6666666666667,NA
"S4","B","OTHER",6,0.000988041182490644,0.00350318024204333,13.3333333333333,NA
"S4","B","OTHER",7,0.00855537221707933,0.0103771056369327,61.9047619047619,NA
"S4","B","OTHER",8,0.00714674772317042,0.0160032651080414,34.6938775510204,NA
"S4","B","OTHER",9,0.00581337559964726,0.0117220914025074,45.2830188679245,NA
"S5","C","ATL_N",1,0.00400528825671855,0.00736063724610025,40.3846153846154,NA
"S5","C","ATL_N",10,0.0171955674715954,0.0196539866155133,78.1818181818182,NA
"S5","C","ATL_N",11,0.0251649271065037,0.0236255498474957,94.3396226415094,NA
"S5","C","ATL_N",12,0.00663678331129825,0.0142798240518771,66.6666666666667,NA
"S5","C","ATL_N",2,0.0143289905528444,0.0213439067320824,70.2702702702703,NA
"S5","C","ATL_N",3,0.0105664328060719,0.015792353926091,62.7450980392157,NA
"S5","C","ATL_N",4,0.0114357959161657,0.0185946215198244,50,NA
"S5","C","ATL_N",5,0.017326185382774,0.0309357882333917,52,NA
"S5","C","ATL_N",6,0.00744793087896727,0.0129754782509521,51.7241379310345,NA
"S5","C","ATL_N",7,0.0199242224281551,0.022613904350085,92.8571428571429,NA
"S5","C","ATL_N",8,0.0130050205203212,0.0153605971928573,98.3870967741936,NA
"S5","C","ATL_N",9,0.0228710322960657,0.0443507667374122,89.5833333333333,NA
